iter	compliance	FCS	theta_only	hj_trial	reinit_trial	accepted_source_detail
45	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
46	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
47	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
48	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
49	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
50	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
51	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
52	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
53	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
54	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
55	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
56	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
57	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
58	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
59	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
60	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
61	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
62	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
63	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
64	8.819404333684e-07	8.924588422730e-01	8.819404333684e-07	8.833317128998e-07	NaN	hold
